ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,dmg,codekey,tele_files,wall_s,status
16:09:36,straight,DynamicABS,DynamicABS1.pc,straight,9,120,0.0,0.0,1.0,1788649791-0003,121.7141,399.32,1.2047,4.46,120.0,121.72,1.205,0.00,0.2,0.2,2.2,0.0,0,ba2f3327-f04f27a6-108632,1,19.9,OK
16:09:56,straight,DynamicABS,DynamicABS1.pc,straight,9,160,0.0,0.0,1.0,1788649813-0004,215.3343,706.48,1.2107,5.95,160.0,215.34,1.211,0.00,0.2,0.2,2.7,0.0,0,ba2f3327-f04f27a6-108632,1,23.7,OK
16:10:44,straight,StockABS,StockABS1.pc,straight,9,60,0.0,0.0,1.0,1788649856-0001,31.3734,102.93,1.1672,2.26,60.0,31.37,1.167,0.00,0.2,0.2,0.8,0.0,0,,0,16.5,OK
16:11:01,straight,StockABS,StockABS1.pc,straight,9,80,0.0,0.0,1.0,1788649873-0002,54.6462,179.29,1.1920,3.00,80.0,54.65,1.192,0.00,0.2,0.2,1.2,0.0,0,,0,17.3,OK
16:11:18,straight,StockABS,StockABS1.pc,straight,9,120,0.0,0.0,1.0,1788649892-0003,122.1752,400.84,1.2001,4.49,120.0,122.18,1.200,0.00,0.3,0.2,1.9,0.0,0,,0,19.0,OK
16:11:37,straight,StockABS,StockABS1.pc,straight,9,160,0.0,0.0,1.0,1788649913-0004,216.6622,710.83,1.2033,6.00,160.0,216.66,1.203,0.00,0.2,0.2,2.9,0.0,0,,0,21.7,OK
16:12:23,straight,DynamicABS,DynamicABS1.pc,straight,10,60,0.0,0.0,1.0,1788649956-0001,30.4785,100.00,1.2014,2.20,60.0,30.48,1.201,0.00,0.2,0.1,1.1,0.0,0,ba2f3327-f04f27a6-108632,1,17.9,OK
16:12:41,straight,DynamicABS,DynamicABS1.pc,straight,10,80,0.0,0.0,1.0,1788649974-0002,53.9572,177.02,1.2072,2.95,80.0,53.96,1.207,0.00,0.2,0.2,1.3,0.0,0,ba2f3327-f04f27a6-108632,1,18.0,OK
16:12:59,straight,DynamicABS,DynamicABS1.pc,straight,10,120,0.0,0.0,1.0,1788649994-0003,121.7385,399.40,1.2044,4.46,120.0,121.74,1.204,0.00,0.2,0.2,2.1,0.0,0,ba2f3327-f04f27a6-108632,1,20.6,OK
16:13:20,straight,DynamicABS,DynamicABS1.pc,straight,10,160,0.0,0.0,1.0,1788650017-0004,214.9395,705.18,1.2129,5.94,160.0,214.94,1.213,0.00,0.2,0.2,2.8,0.0,0,ba2f3327-f04f27a6-108632,1,23.5,OK
16:14:08,straight,StockABS,StockABS1.pc,straight,10,60,0.0,0.0,1.0,1788650060-0001,31.1431,102.18,1.1758,2.25,60.0,31.14,1.176,0.00,0.2,0.2,0.7,0.0,0,,0,15.8,OK
16:14:24,straight,StockABS,StockABS1.pc,straight,10,80,0.0,0.0,1.0,1788650076-0002,54.7359,179.58,1.1900,2.99,80.0,54.74,1.190,0.00,0.2,0.2,1.2,0.0,0,,0,17.4,OK
16:14:41,straight,StockABS,StockABS1.pc,straight,10,120,0.0,0.0,1.0,1788650095-0003,122.1764,400.84,1.2001,4.49,120.0,122.18,1.200,0.00,0.2,0.2,1.8,0.0,0,,0,19.0,OK
16:15:00,straight,StockABS,StockABS1.pc,straight,10,160,0.0,0.0,1.0,1788650117-0004,216.7945,711.27,1.2025,6.01,160.0,216.79,1.203,0.00,0.2,0.2,3.0,0.0,0,,0,21.7,OK
